infection_risk,stay_length,age,culture_ratio,chest_ratio,bed_count,med_school,region,nurses_per_bed,capacity_ratio,region_1,region_2,region_3,region_4
2.1,8.02,55.0,3.8,46.5,91,2,2,0.3516483516483517,0.4835164835164835,0,1,0,0
5.4,7.93,64.1,7.5,98.1,68,2,4,0.7205882352941176,0.6176470588235294,0,0,0,1
4.1,7.13,55.7,9.0,39.6,279,2,4,0.8637992831541219,0.7419354838709677,0,0,0,1
6.3,9.74,54.4,11.4,76.1,221,2,2,0.7782805429864253,0.7692307692307693,0,1,0,0
4.4,11.65,54.5,18.6,96.1,248,2,1,0.7620967741935484,0.875,1,0,0,0
3.9,11.15,56.5,7.7,73.9,281,2,1,0.708185053380783,0.7722419928825622,1,0,0,0
5.0,10.33,55.8,21.2,104.3,266,2,1,0.5601503759398496,0.6804511278195489,1,0,0,0
4.8,9.84,62.2,12.0,82.3,600,2,3,0.8283333333333334,0.78,0,0,1,0
5.2,9.84,53.0,17.7,72.6,210,2,2,1.138095238095238,0.9523809523809523,0,1,0,0
4.5,10.05,52.0,36.7,87.5,184,1,1,0.8206521739130435,0.782608695652174,1,0,0,0
4.3,7.65,47.1,16.4,65.7,318,2,4,0.9874213836477987,0.8333333333333334,0,0,0,1
2.9,7.91,52.8,11.9,79.5,477,2,3,0.3941299790356394,0.7316561844863732,0,0,1,0
3.8,8.66,52.8,6.8,69.5,246,2,3,0.7195121951219512,0.7235772357723578,0,0,1,0
5.3,11.77,54.1,17.3,56.0,196,2,1,0.8418367346938775,0.8367346938775511,1,0,0,0
2.5,8.54,56.1,27.0,82.5,98,2,1,0.7653061224489796,0.5816326530612245,1,0,0,0
4.2,9.0,56.3,14.6,76.4,72,2,3,0.5277777777777778,0.8472222222222222,0,0,1,0
1.3,8.92,53.9,2.2,79.5,56,2,2,0.25,0.7142857142857143,0,1,0,0
4.1,9.35,53.8,15.9,80.9,833,2,3,0.6230492196878752,0.6566626650660264,0,0,1,0
4.9,9.89,50.5,17.7,103.6,167,2,2,0.6347305389221557,0.6766467065868264,0,1,0,0
